revendeur,categorie,titre,image,url,desc,prix,date
tunisianet,Ordinateurs & Tablettes,Pc Portable Dell Inspiron 3542 / Dual Core / 4 Go / Noir + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/47388-home/pc-portable-dell-inspiron-3542-dual-core-4-go-noir-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/16653-pc-portable-dell-inspiron-3542-dual-core-4-go-noir-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core 2957U, 1.4 Ghz , 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics﻿ - Graveur DVD - 1x HDMI - 2xUSB 2.0 - 1xUSB 3.0 - Webcam avec Micro - Couleur Noir - Garantie 1 an ﻿- Pour 1Dt de...",475.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable HP 15-ac100nk / Dual Core / 4 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/45476-home/pc-portable-hp-15-ac100nk-dual-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/16019-pc-portable-hp-15-ac100nk-dual-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N3050, up to 2.16 Ghz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - HDMI - USB 3.0 - Lecteur de cartes - Wifi - Bluetooth - Webcam avec Micro - Couleur Bleu - Garantie 1 an ",479.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable Asus X540SA / Dual Core / 4 Go / Marron + Clé 3G Offerte,http://www.tunisianet.com.tn/50342-home/pc-portable-asus-x540sa-dual-core-4-go-marron-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/17751-pc-portable-asus-x540sa-dual-core-4-go-marron-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core N3050, up to 2.16 Ghz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - Wifi - Bluetooth - USB 3.0 - HDMI - Webcam avec Micro - Couleur Bleu - Garantie 2 ans﻿ - ",482.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable Asus PU551LA / Dual Core / 4 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/46088-home/pc-portable-asus-pu551la-dual-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/16256-pc-portable-asus-pu551la-dual-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Celeron Dual Core 2957U﻿, 1.4 Ghz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go, 7200 tpm﻿ - Carte graphique Intel HD Graphics 4400 - Graveur DVD - Lecteur de cartes - Wifi - Bluetooth - USB 3.0 - HDMI - Lecteur d'empreintes digitales﻿ - Webcam HD - Couleur Noir - ",499.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Lenovo B5030 / Quad Core / 4 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/44351-home/pc-portable-lenovo-b5030-quad-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15686-pc-portable-lenovo-b5030-quad-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Quad Core N3540, up to 2.66 GHz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics﻿ - Wifi - Bluetooth - Webcam HD avec Micro - HDMI - USB 3.0 - Couleur Noir - Garantie 1 an ",499.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Lenovo G5030 / Quad Core / 4 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/29386-home/pc-portable-lenovo-g5030-quad-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/10177-pc-portable-lenovo-g5030-quad-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Quad Core N3540, up to 2.66 GHz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics﻿ - Wifi - Bluetooth - Webcam HD avec Micro - HDMI - USB 3.0 - Couleur Noir - Garantie 1 an ",505.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Acer Aspire ES1-512 / Quad Core / 4 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/43692-home/pc-portable-acer-aspire-es1-512-quad-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15430-pc-portable-acer-aspire-es1-512-quad-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Quad Core N3540, up to 2.66 GHz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD Lecteur de cartes - HDMI - Wifi - Bluetooth - Webcam avec micro - Couleur Noir - Garantie 1 an",508.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc portable Asus X553SA / Quad Core / 4 Go / Rose + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/47573-home/pc-portable-asus-x553sa-quad-core-4-go-rose-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/16722-pc-portable-asus-x553sa-quad-core-4-go-rose-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Quad Core N3150﻿, up to 2.08 Ghz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Lecteur de cartes - Wifi - Bluetooth - USB 3.0 - HDMI - Webcam avec Micro - Couleur Rose - Garantie 2 ans﻿ - Pour 1Dt de plus: Clé 3G Ooredoo avec 4 Go...",509.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Acer Aspire ES1-531 / Quad Core / 4 Go + Clé 3G Offerte,http://www.tunisianet.com.tn/51334-home/pc-portable-acer-aspire-es1-531-quad-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/18092-pc-portable-acer-aspire-es1-531-quad-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Quad Core N3700﻿, up to 2.4 GHz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - USB 3.0 - HDMI - Wifi - Ethernet﻿ - Webcam avec micro - Garantie 1 an -...",525.000,2016/05/31
tunisianet,Ordinateurs & Tablettes,Pc Portable Acer Aspire ES-531 / Quad Core / 4 Go + ﻿Clé 3G Offerte,http://www.tunisianet.com.tn/42434-home/pc-portable-acer-aspire-es-531-quad-core-4-go-cle-3g-offerte.jpg,http://www.tunisianet.com.tn/ordinateur-portable/15045-pc-portable-acer-aspire-es-531-quad-core-4-go-cle-3g-offerte.html,"Ecran 15.6"" HD LED - Processeur Intel Pentium Quad Core N3700﻿, up to 2.4 GHz, 2 Mo de mémoire cache - Mémoire 4 Go - Disque 500 Go - Carte graphique Intel HD Graphics - Graveur DVD - Lecteur de cartes - USB 3.0 - HDMI - Wifi - Ethernet﻿ - Webcam avec micro - Garantie 1 an...",525.000,2016/05/31
